Code,Name,Currency,Market Cap,Price, Change,Change %
4BB,4BASEBIO PLC ORD EUR1.00,GBX,86.24,550,-5,-0.90%
80M,80 MILE PLC ORD 0.01P,GBX,49.06,1.06,0.08,8.16%
88E,88 ENERGY LIMITED ORD NPV (DI),GBX,13.89,1.15,-0.05,-4.17%
AAU,ARIANA RESOURCES PLC ORD 0.1P,GBX,49.8,1.88,-,-
AAZ,ANGLO ASIAN MINING PLC ORD 1P,GBX,334.45,292.5,-,-
ABDP,AB DYNAMICS PLC ORD 1P,GBX,298.41,"1,300.00",-,-
ABDX,ABINGDON HEALTH PLC ORD 0.025P,GBX,16.95,6.75,-,-
ACRM,ACUITY RM GROUP PLC ORD 0.1P,GBX,2.04,0.85,-,-
ACSO,ACCESSO TECHNOLOGY GROUP PLC ORD 1P,GBX,109.01,286,-,-
ADF,FACILITIES BY ADF PLC ORD 1P,GBX,17.52,16.25,-,-
ADVT,ADVANCEDADVT LIMITED ORD NPV (DI),GBX,205.69,150,-,-
AEG,ACTIVE ENERGY GROUP PLC ORD GBP0.00035,GBX,3.65,0.1,-,-
AEO,AEOREMA COMMUNICATIONS PLC ORD 12.5P,GBX,6.07,63.5,-,-
AET,AFENTRA PLC ORD 10P,GBX,121.22,55,1.4,2.61%
AFC,AFC ENERGY PLC ORD 0.1P,GBX,168.14,14.34,-0.5,-3.37%
AFRN,AFERIAN PLC ORD 1P,GBX,0.89,0.8,-,-
AIEA,AIREA PLC ORD 25P,GBX,8.06,19.5,-,-
ALBA,ALBA MINERAL RESOURCES PLC ORD 0.01P,GBX,4.86,0.02,0,-2.04%
ALL,ATLANTIC LITHIUM LIMITED ORD NPV (DI),GBX,134.77,19.4,1.4,7.78%
ALT,ALTITUDE GROUP PLC ORD 0.4P,GBX,16.8,22.5,-0.5,-2.17%
ALU,ALUMASC GROUP PLC ORD 12.5P,GBX,102.98,285,-,-
AMCO,AMCOMRI GROUP PLC ORD GBP0.01,GBX,82.78,114,-1,-0.87%
AMP,AMPEAK ENERGY LIMITED ORD NPV (DI),GBX,22.47,3.1,-,-
